student_id,school_year,attendance_rate,chronic_absenteeism_flag,average_assessment_score,basic_or_below_count,failed_course_count,average_final_grade,at_risk_flag,risk_due_to_attendance,risk_due_to_assessment,risk_due_to_course_failure
STU00031,2023,0.878,1,67.75,3,0,66.0,1,1,1,0
STU00031,2024,0.911,0,65.25,3,1,65.25,1,0,1,1
STU00031,2025,0.978,0,70.5,2,1,70.5,1,0,1,1
STU00032,2023,0.942,0,74.75,1,0,73.0,1,0,1,0
STU00032,2024,0.923,0,75.0,1,0,81.0,1,0,1,0
STU00032,2025,0.989,0,83.5,0,0,79.5,0,0,0,0
STU00033,2023,0.994,0,88.25,0,0,83.25,0,0,0,0
STU00033,2024,0.977,0,80.5,0,0,78.75,0,0,0,0
STU00033,2025,0.874,1,78.75,0,0,78.25,1,1,0,0
STU00034,2023,0.926,0,61.75,2,2,62.5,1,0,1,1
STU00034,2024,0.894,1,67.25,2,1,63.25,1,1,1,1
STU00034,2025,0.871,1,67.0,2,0,70.5,1,1,1,0
STU00035,2023,0.964,0,72.0,1,1,71.75,1,0,1,1
STU00035,2024,0.952,0,66.0,3,2,63.75,1,0,1,1
STU00035,2025,0.909,0,76.0,1,0,74.25,1,0,1,0
STU00036,2023,0.85,1,61.0,4,1,60.5,1,1,1,1
STU00036,2024,0.893,1,58.25,4,2,61.5,1,1,1,1
STU00036,2025,0.844,1,63.75,3,0,67.75,1,1,1,0
STU00037,2023,0.921,0,58.75,4,3,57.75,1,0,1,1
STU00037,2024,0.868,1,74.75,1,0,75.25,1,1,1,0
STU00037,2025,0.887,1,78.75,0,0,74.25,1,1,0,0
STU00038,2023,1.0,0,77.0,0,0,79.0,0,0,0,0
STU00038,2024,0.971,0,74.5,0,0,76.75,0,0,0,0
STU00038,2025,0.949,0,76.5,0,0,76.25,0,0,0,0
STU00039,2023,0.914,0,69.0,2,1,67.0,1,0,1,1
STU00039,2024,0.911,0,75.25,1,0,78.0,1,0,1,0
STU00039,2025,0.959,0,84.75,0,0,84.75,0,0,0,0
STU00040,2023,0.994,0,79.75,1,0,80.75,1,0,1,0
STU00040,2024,0.964,0,74.0,1,0,72.25,1,0,1,0
STU00040,2025,0.905,0,88.0,0,0,87.75,0,0,0,0
STU00041,2023,0.929,0,78.5,0,0,78.75,0,0,0,0
STU00041,2024,0.955,0,84.5,0,0,84.75,0,0,0,0
STU00041,2025,0.97,0,79.75,1,0,84.5,1,0,1,0
STU00042,2023,0.932,0,74.5,2,1,73.0,1,0,1,1
STU00042,2024,0.886,1,68.25,3,1,64.75,1,1,1,1
STU00042,2025,0.947,0,71.0,2,0,68.5,1,0,1,0
STU00043,2023,0.948,0,67.0,2,2,63.0,1,0,1,1
STU00043,2024,0.922,0,77.0,0,0,78.5,0,0,0,0
STU00043,2025,0.955,0,73.75,1,0,75.0,1,0,1,0
STU00044,2023,0.906,0,65.5,3,2,65.25,1,0,1,1
STU00044,2024,0.982,0,71.25,1,1,70.25,1,0,1,1
STU00044,2025,0.955,0,65.5,3,2,64.5,1,0,1,1
STU00045,2023,0.927,0,77.0,1,0,76.5,1,0,1,0
STU00045,2024,0.989,0,82.25,0,0,74.0,0,0,0,0
STU00045,2025,0.949,0,89.25,0,0,88.25,0,0,0,0
STU00046,2023,0.865,1,62.75,3,2,60.25,1,1,1,1
STU00046,2024,0.911,0,75.0,1,1,74.5,1,0,1,1
STU00046,2025,0.894,1,66.0,2,2,67.5,1,1,1,1
STU00047,2023,0.954,0,73.0,1,1,72.5,1,0,1,1
STU00047,2024,0.946,0,81.0,0,0,82.25,0,0,0,0
STU00047,2025,0.911,0,76.25,1,0,74.5,1,0,1,0
STU00048,2023,0.898,1,66.75,3,1,65.0,1,1,1,1
STU00048,2024,0.873,1,63.25,4,0,67.5,1,1,1,0
STU00048,2025,0.887,1,67.5,2,1,67.0,1,1,1,1
STU00049,2023,0.877,1,59.25,4,2,61.5,1,1,1,1
STU00049,2024,0.908,0,72.25,1,0,72.75,1,0,1,0
STU00049,2025,0.843,1,63.0,3,2,57.75,1,1,1,1
STU00050,2023,0.94,0,60.75,4,2,59.75,1,0,1,1
STU00050,2024,0.879,1,61.5,4,2,61.75,1,1,1,1
STU00050,2025,0.877,1,73.75,1,0,77.25,1,1,1,0
STU00051,2023,0.941,0,66.25,3,1,62.0,1,0,1,1
STU00051,2024,0.937,0,67.0,2,0,70.25,1,0,1,0
STU00051,2025,0.877,1,69.75,2,1,69.25,1,1,1,1
STU00052,2023,0.976,0,76.0,1,1,77.25,1,0,1,1
STU00052,2024,0.908,0,68.75,3,0,68.5,1,0,1,0
STU00052,2025,0.922,0,72.25,2,0,71.5,1,0,1,0
STU00053,2023,0.918,0,68.25,3,1,69.33333333333333,1,0,1,1
STU00053,2024,0.889,1,67.0,2,2,62.25,1,1,1,1
STU00053,2025,0.883,1,69.0,2,1,67.5,1,1,1,1
STU00054,2023,0.0107,1,73.75,1,0,71.5,1,1,1,0
STU00054,2024,0.964,0,78.75,1,1,83.25,1,0,1,1
STU00054,2025,0.915,0,73.5,1,0,71.5,1,0,1,0
STU00055,2023,0.949,0,76.75,0,0,78.5,0,0,0,0
STU00055,2024,0.982,0,74.25,1,0,76.25,1,0,1,0
STU00055,2025,0.942,0,72.25,2,0,75.0,1,0,1,0
STU00056,2023,0.934,0,70.0,2,2,66.5,1,0,1,1
STU00056,2024,0.919,0,71.75,1,0,71.75,1,0,1,0
STU00056,2025,0.884,1,70.75,2,1,73.0,1,1,1,1
STU00057,2023,1.0,0,89.5,0,0,87.75,0,0,0,0
STU00057,2024,0.905,0,82.75,0,0,81.5,0,0,0,0
STU00057,2025,0.977,0,79.5,0,0,80.25,0,0,0,0
STU00058,2023,0.906,0,69.0,1,1,69.25,1,0,1,1
STU00058,2024,0.895,1,79.0,1,0,78.5,1,1,1,0
STU00058,2025,0.867,1,77.0,1,0,79.0,1,1,1,0
STU00059,2023,0.899,1,67.25,1,1,69.0,1,1,1,1
STU00059,2024,0.982,0,81.5,0,0,79.0,0,0,0,0
STU00059,2025,0.947,0,74.75,2,0,73.25,1,0,1,0
STU00060,2023,0.983,0,71.0,1,0,68.0,1,0,1,0
STU00060,2024,0.881,1,60.0,4,2,63.25,1,1,1,1
STU00060,2025,0.948,0,73.25,2,0,74.0,1,0,1,0
STU00061,2023,0.917,0,73.75,1,0,76.25,1,0,1,0
STU00061,2024,0.928,0,64.0,2,1,63.25,1,0,1,1
STU00061,2025,0.972,0,72.75,0,1,73.75,1,0,0,1
STU00062,2023,0.941,0,75.25,1,0,74.0,1,0,1,0
STU00062,2024,0.916,0,69.0,1,1,67.25,1,0,1,1
STU00062,2025,0.927,0,75.5,1,1,73.5,1,0,1,1
STU00063,2023,0.964,0,79.5,1,0,82.33333333333333,1,0,1,0
STU00063,2024,0.92,0,69.75,2,0,73.0,1,0,1,0
STU00063,2025,0.953,0,75.5,1,0,67.66666666666667,1,0,1,0
STU00064,2023,0.935,0,70.75,2,1,68.25,1,0,1,1
STU00064,2024,0.837,1,70.5,2,0,72.25,1,1,1,0
STU00064,2025,0.966,0,78.0,0,0,79.5,0,0,0,0
STU00065,2023,0.897,1,64.25,3,1,63.75,1,1,1,1
STU00065,2024,0.966,0,82.25,0,0,78.5,0,0,0,0
STU00065,2025,0.916,0,73.75,1,0,76.25,1,0,1,0
STU00066,2023,0.919,0,71.25,1,0,69.25,1,0,1,0
STU00066,2024,1.0,0,84.5,0,0,82.75,0,0,0,0
STU00066,2025,0.909,0,78.75,1,1,79.0,1,0,1,1
STU00067,2023,0.892,1,64.5,3,1,69.33333333333333,1,1,1,1
STU00067,2024,0.923,0,69.5,2,1,67.5,1,0,1,1
STU00067,2025,0.905,0,76.25,1,1,74.25,1,0,1,1
STU00068,2023,0.971,0,79.75,1,0,78.0,1,0,1,0
STU00068,2024,0.919,0,88.25,0,0,88.5,0,0,0,0
STU00068,2025,0.994,0,79.75,0,0,79.0,0,0,0,0
STU00069,2023,0.91,0,72.25,2,0,70.25,1,0,1,0
STU00069,2024,0.852,1,59.75,3,2,55.5,1,1,1,1
STU00069,2025,0.872,1,62.75,3,1,65.0,1,1,1,1
STU00070,2023,0.837,1,58.5,3,2,63.5,1,1,1,1
STU00070,2024,0.87,1,62.25,2,1,64.75,1,1,1,1
STU00070,2025,0.892,1,66.0,3,1,64.5,1,1,1,1
STU00071,2023,0.983,0,67.75,2,1,66.25,1,0,1,1
STU00071,2024,0.912,0,69.75,2,0,69.25,1,0,1,0
STU00071,2025,0.941,0,74.25,2,1,73.0,1,0,1,1
STU00072,2023,0.967,0,74.5,1,1,75.75,1,0,1,1
STU00072,2024,0.964,0,70.25,2,1,69.0,1,0,1,1
STU00072,2025,1.0,0,87.5,0,0,85.75,0,0,0,0
STU00073,2023,0.989,0,81.25,0,0,84.5,0,0,0,0
STU00073,2024,0.966,0,79.0,0,0,76.5,0,0,0,0
STU00073,2025,0.925,0,80.5,0,0,81.25,0,0,0,0
STU00074,2023,0.859,1,59.75,3,3,57.0,1,1,1,1
STU00074,2024,0.869,1,69.0,2,2,65.75,1,1,1,1
STU00074,2025,0.947,0,70.75,2,0,74.25,1,0,1,0
STU00075,2023,0.935,0,69.75,3,1,69.0,1,0,1,1
STU00075,2024,0.933,0,74.0,2,1,74.5,1,0,1,1
STU00075,2025,0.924,0,77.5,0,0,80.5,0,0,0,0
STU00076,2023,0.928,0,58.75,4,2,60.5,1,0,1,1
STU00076,2024,0.939,0,66.5,4,1,68.5,1,0,1,1
STU00076,2025,0.897,1,63.75,2,2,62.75,1,1,1,1
STU00077,2023,0.977,0,82.5,0,0,82.5,0,0,0,0
STU00077,2024,0.926,0,78.0,1,0,82.25,1,0,1,0
STU00077,2025,0.942,0,74.5,1,1,75.25,1,0,1,1
STU00078,2023,0.905,0,69.0,3,0,69.5,1,0,1,0
STU00078,2024,0.943,0,68.5,3,1,67.25,1,0,1,1
STU00078,2025,0.994,0,81.25,0,0,78.5,0,0,0,0
STU00079,2023,0.964,0,79.5,1,1,79.25,1,0,1,1
STU00079,2024,0.958,0,70.75,2,1,70.25,1,0,1,1
STU00079,2025,0.944,0,76.75,1,1,76.5,1,0,1,1
STU00080,2023,0.894,1,62.25,3,1,63.0,1,1,1,1
STU00080,2024,0.92,0,70.75,2,0,72.5,1,0,1,0
STU00080,2025,0.918,0,78.25,0,0,74.75,0,0,0,0
STU00081,2023,0.885,1,64.0,2,1,61.75,1,1,1,1
STU00081,2024,0.934,0,67.25,2,1,64.25,1,0,1,1
STU00081,2025,0.96,0,77.0,1,1,73.75,1,0,1,1
STU00082,2023,0.906,0,74.0,1,1,71.5,1,0,1,1
STU00082,2024,0.949,0,65.25,3,1,66.25,1,0,1,1
STU00082,2025,0.958,0,76.0,2,0,72.0,1,0,1,0
STU00083,2023,0.971,0,75.5,1,1,71.75,1,0,1,1
STU00083,2024,0.946,0,73.5,2,1,69.5,1,0,1,1
STU00083,2025,0.918,0,73.5,0,0,75.5,0,0,0,0
STU00084,2023,0.959,0,80.0,0,0,80.75,0,0,0,0
STU00084,2024,0.927,0,71.75,2,1,72.25,1,0,1,1
STU00084,2025,0.966,0,85.5,0,0,85.75,0,0,0,0
STU00085,2023,0.892,1,69.5,2,1,68.75,1,1,1,1
STU00085,2024,0.926,0,69.25,2,1,69.0,1,0,1,1
STU00085,2025,0.885,1,69.75,2,0,74.0,1,1,1,0
STU00086,2023,0.983,0,74.75,1,0,77.5,1,0,1,0
STU00086,2024,1.0,0,69.25,2,1,70.5,1,0,1,1
STU00086,2025,0.978,0,81.5,0,0,79.0,0,0,0,0
STU00087,2023,0.944,0,69.25,3,0,68.75,1,0,1,0
STU00087,2024,0.917,0,71.5,1,0,74.5,1,0,1,0
STU00087,2025,0.92,0,59.25,3,1,61.75,1,0,1,1
STU00088,2023,0.888,1,65.25,3,0,68.5,1,1,1,0
STU00088,2024,0.939,0,65.5,3,2,60.75,1,0,1,1
STU00088,2025,0.903,0,67.25,3,1,71.0,1,0,1,1
STU00089,2023,0.894,1,58.75,3,3,58.75,1,1,1,1
STU00089,2024,0.88,1,61.0,4,2,57.5,1,1,1,1
STU00089,2025,0.858,1,61.5,2,2,65.0,1,1,1,1
STU00090,2023,0.92,0,68.75,2,2,66.75,1,0,1,1
STU00090,2024,0.934,0,81.0,1,0,79.0,1,0,1,0
STU00090,2025,0.983,0,78.75,0,0,78.0,0,0,0,0
STU00091,2023,0.958,0,80.5,0,0,79.5,0,0,0,0
STU00091,2024,0.884,1,78.25,1,1,72.25,1,1,1,1
STU00091,2025,0.917,0,66.5,3,1,67.5,1,0,1,1
STU00092,2023,0.955,0,75.0,0,0,69.5,0,0,0,0
STU00092,2024,0.955,0,79.25,0,0,76.5,0,0,0,0
STU00092,2025,0.977,0,78.75,0,0,75.25,0,0,0,0
STU00093,2023,0.939,0,73.75,1,0,74.5,1,0,1,0
STU00093,2024,0.909,0,78.0,1,1,73.0,1,0,1,1
STU00093,2025,1.0,0,86.25,0,0,87.25,0,0,0,0
STU00094,2023,0.944,0,67.0,3,2,65.25,1,0,1,1
STU00094,2024,0.96,0,73.75,1,0,77.5,1,0,1,0
STU00094,2025,0.941,0,76.5,1,0,78.5,1,0,1,0
STU00095,2023,0.939,0,77.0,0,0,75.25,0,0,0,0
STU00095,2024,0.958,0,66.0,3,0,69.0,1,0,1,0
STU00095,2025,0.882,1,72.25,2,0,75.0,1,1,1,0
STU00096,2023,0.924,0,61.0,4,2,64.5,1,0,1,1
STU00096,2024,0.918,0,61.75,3,3,59.75,1,0,1,1
STU00096,2025,0.865,1,64.0,3,1,61.75,1,1,1,1
STU00097,2023,0.989,0,72.5,2,1,68.75,1,0,1,1
STU00097,2024,0.967,0,79.5,0,0,84.25,0,0,0,0
STU00097,2025,0.972,0,77.25,1,1,75.5,1,0,1,1
STU00098,2023,0.966,0,69.25,2,0,73.25,1,0,1,0
STU00098,2024,0.953,0,67.75,2,1,71.0,1,0,1,1
STU00098,2025,0.966,0,82.25,1,1,73.5,1,0,1,1
STU00099,2023,0.881,1,65.0,2,2,64.25,1,1,1,1
STU00099,2024,0.872,1,68.25,2,1,63.75,1,1,1,1
STU00099,2025,0.952,0,69.0,2,1,72.25,1,0,1,1
STU00100,2023,0.971,0,74.0,1,0,79.75,1,0,1,0
STU00100,2024,0.964,0,85.75,0,0,86.5,0,0,0,0
STU00100,2025,0.944,0,77.75,1,0,80.75,1,0,1,0
STU00101,2023,0.921,0,71.25,1,1,73.0,1,0,1,1
STU00101,2024,0.926,0,76.0,1,0,75.5,1,0,1,0
STU00101,2025,0.902,0,75.75,1,0,74.5,1,0,1,0
STU00102,2023,0.953,0,76.0,1,0,76.25,1,0,1,0
STU00102,2024,0.885,1,77.0,0,0,76.75,1,1,0,0
STU00102,2025,0.994,0,83.25,0,0,83.5,0,0,0,0
STU00103,2023,0.883,1,59.75,3,2,59.25,1,1,1,1
STU00103,2024,0.923,0,66.5,3,0,65.75,1,0,1,0
STU00103,2025,0.955,0,83.25,0,0,86.0,0,0,0,0
STU00104,2023,0.904,0,69.0,2,0,69.25,1,0,1,0
STU00104,2024,0.922,0,67.0,2,1,70.75,1,0,1,1
STU00104,2025,0.915,0,58.25,4,2,55.5,1,0,1,1
STU00105,2023,0.876,1,62.0,4,1,63.25,1,1,1,1
STU00105,2024,0.96,0,74.5,1,1,79.25,1,0,1,1
STU00105,2025,0.886,1,66.75,3,1,67.5,1,1,1,1
STU00106,2023,0.935,0,77.75,1,0,79.5,1,0,1,0
STU00106,2024,,0,76.0,1,0,75.25,1,0,1,0
STU00106,2025,0.917,0,73.5,1,0,77.0,1,0,1,0
STU00107,2023,0.931,0,66.25,3,1,70.25,1,0,1,1
STU00107,2024,0.952,0,83.5,0,0,81.0,0,0,0,0
STU00107,2025,0.989,0,79.75,0,0,78.75,0,0,0,0
STU00108,2023,0.918,0,70.75,2,0,71.0,1,0,1,0
STU00108,2024,0.86,1,63.25,4,2,61.0,1,1,1,1
STU00108,2025,0.926,0,74.0,1,0,68.25,1,0,1,0
STU00109,2023,0.961,0,76.25,1,0,75.75,1,0,1,0
STU00109,2024,0.916,0,72.25,2,0,70.5,1,0,1,0
STU00109,2025,0.844,1,74.0,1,1,69.5,1,1,1,1
STU00110,2023,0.939,0,57.75,4,3,56.5,1,0,1,1
STU00110,2024,0.92,0,73.0,1,0,69.0,1,0,1,0
STU00110,2025,0.872,1,77.5,0,0,80.5,1,1,0,0
STU00111,2023,0.929,0,64.75,3,2,64.5,1,0,1,1
STU00111,2024,0.953,0,81.5,0,0,83.0,0,0,0,0
STU00111,2025,0.926,0,73.25,2,1,72.25,1,0,1,1
STU00112,2023,0.918,0,72.5,1,0,75.25,1,0,1,0
STU00112,2024,0.955,0,77.75,1,0,77.75,1,0,1,0
STU00112,2025,0.953,0,75.25,2,0,75.25,1,0,1,0
STU00113,2023,0.891,1,61.75,4,2,63.0,1,1,1,1
STU00113,2024,0.85,1,65.0,3,1,67.25,1,1,1,1
STU00113,2025,0.86,1,53.75,4,4,49.5,1,1,1,1
STU00114,2023,1.0,0,79.0,0,0,77.0,0,0,0,0
STU00114,2024,0.884,1,77.5,0,0,79.75,1,1,0,0
STU00114,2025,0.935,0,71.25,2,2,62.75,1,0,1,1
STU00115,2023,0.94,0,76.0,0,0,74.25,0,0,0,0
STU00115,2024,0.938,0,75.0,1,0,74.5,1,0,1,0
STU00115,2025,0.942,0,78.75,0,0,79.5,0,0,0,0
STU00116,2023,1.0,0,75.75,2,0,79.0,1,0,1,0
STU00116,2024,1.0,0,88.0,0,0,96.5,0,0,0,0
STU00116,2025,0.942,0,85.5,0,0,88.25,0,0,0,0
STU00117,2023,0.917,0,67.5,2,1,70.25,1,0,1,1
STU00117,2024,0.925,0,70.75,2,1,67.75,1,0,1,1
STU00117,2025,0.927,0,71.5,2,2,71.5,1,0,1,1
STU00118,2023,0.947,0,76.5,1,0,77.5,1,0,1,0
STU00118,2024,0.923,0,77.75,0,0,79.5,0,0,0,0
STU00118,2025,0.867,1,61.25,4,2,63.25,1,1,1,1
STU00119,2023,0.949,0,74.25,1,0,75.5,1,0,1,0
STU00119,2024,0.924,0,76.5,1,0,71.0,1,0,1,0
STU00119,2025,0.928,0,80.75,1,0,78.75,1,0,1,0
STU00120,2023,1.0,0,78.5,0,0,81.0,0,0,0,0
STU00120,2024,0.971,0,83.25,0,0,82.5,0,0,0,0
STU00120,2025,0.972,0,77.75,0,0,77.0,0,0,0,0
STU00121,2023,0.94,0,66.0,2,2,66.25,1,0,1,1
STU00121,2024,0.873,1,62.75,3,1,59.5,1,1,1,1
STU00121,2025,0.873,1,75.5,1,0,75.5,1,1,1,0
STU00122,2023,0.967,0,85.25,0,0,81.75,0,0,0,0
STU00122,2024,0.971,0,79.5,0,0,79.5,0,0,0,0
STU00122,2025,0.943,0,86.75,1,1,79.5,1,0,1,1
STU00123,2023,0.965,0,66.75,3,1,68.5,1,0,1,1
STU00123,2024,0.933,0,57.0,4,3,56.75,1,0,1,1
STU00123,2025,0.0107,1,71.75,3,0,77.0,1,1,1,0
STU00124,2023,0.876,1,60.0,4,2,61.0,1,1,1,1
STU00124,2024,0.886,1,69.25,1,1,72.25,1,1,1,1
STU00124,2025,0.894,1,67.75,3,1,72.66666666666667,1,1,1,1
STU00125,2023,0.92,0,71.75,2,1,69.25,1,0,1,1
STU00125,2024,1.0,0,73.25,1,1,68.75,1,0,1,1
STU00125,2025,0.927,0,69.75,2,2,65.75,1,0,1,1
STU00126,2023,0.918,0,69.25,2,2,67.5,1,0,1,1
STU00126,2024,0.91,0,81.25,0,1,79.0,1,0,0,1
STU00126,2025,0.865,1,66.25,3,2,64.75,1,1,1,1
STU00127,2023,0.927,0,64.25,3,1,67.25,1,0,1,1
STU00127,2024,0.902,0,66.75,2,2,69.25,1,0,1,1
STU00127,2025,0.894,1,70.0,2,2,66.25,1,1,1,1
STU00128,2023,0.913,0,63.75,2,1,65.0,1,0,1,1
STU00128,2024,0.82,1,65.5,3,2,66.5,1,1,1,1
STU00128,2025,0.912,0,68.75,2,0,70.75,1,0,1,0
STU00129,2023,0.916,0,79.0,0,0,84.0,0,0,0,0
STU00129,2024,0.943,0,78.0,0,0,75.0,0,0,0,0
STU00129,2025,0.956,0,79.75,0,0,80.5,0,0,0,0
STU00130,2023,0.914,0,59.0,3,2,57.0,1,0,1,1
STU00130,2024,0.964,0,70.0,2,1,71.75,1,0,1,1
STU00130,2025,0.941,0,78.0,1,1,76.25,1,0,1,1
STU00131,2023,0.939,0,69.25,2,0,71.0,1,0,1,0
STU00131,2024,0.905,0,59.75,4,4,57.75,1,0,1,1
STU00131,2025,0.952,0,63.5,3,1,65.25,1,0,1,1
STU00132,2023,0.954,0,76.0,1,1,73.5,1,0,1,1
STU00132,2024,0.965,0,77.5,0,0,73.25,0,0,0,0
STU00132,2025,0.96,0,81.5,0,0,82.75,0,0,0,0
STU00133,2023,0.856,1,63.0,4,2,59.0,1,1,1,1
STU00133,2024,0.919,0,66.5,2,2,62.75,1,0,1,1
STU00133,2025,0.876,1,61.75,4,1,60.25,1,1,1,1
STU00134,2023,0.936,0,62.5,3,2,57.5,1,0,1,1
STU00134,2024,0.937,0,78.75,0,0,78.75,0,0,0,0
STU00134,2025,0.965,0,78.5,1,0,87.25,1,0,1,0
STU00135,2023,0.924,0,65.5,2,1,63.75,1,0,1,1
STU00135,2024,0.888,1,72.25,1,0,72.25,1,1,1,0
