student_id,school_year,intervention_type,intervention_start_date,intervention_end_date,intervention_hours,completed_flag
STU00705,2025,Reading Support,2025-02-23,2025-05-10,9.1,No
STU00705,2025,Credit Recovery,2025-08-05,2025-10-07,10.9,Yes
STU00706,2025,Math Tutoring,2025-03-05,2025-04-14,11.8,No
STU00710,2025,Math Tutoring,2025-08-18,2025-09-09,,No
STU00710,2025,Attendance Outreach,2025-07-07,2025-08-05,19.8,Yes
STU00712,2025,Mentoring,2025-06-01,2025-08-20,12.2,No
STU00713,2025,Attendance Outreach,2025-02-06,2025-05-06,32.9,Yes
STU00717,2025,Attendance Outreach,2025-05-12,2025-07-01,13.1,Yes
STU00723,2025,Math Tutoring,2025-07-22,2025-08-17,12.8,Yes
STU00724,2025,Reading Support,2025-09-21,2025-10-15,14.7,Yes
STU00726,2025,Attendance Outreach,2025-06-01,2025-07-24,7.0,Yes
STU00742,2025,Credit Recovery,2025-01-07,2025-04-04,16.7,Yes
STU00753,2025,Attendance Outreach,2025-03-14,2025-06-11,17.6,No
STU00765,2025,Credit Recovery,2025-04-11,2025-05-30,7.7,Yes
STU00768,2025,Attendance Outreach,2025-05-18,2025-07-31,16.8,Yes
STU00773,2025,Reading Support,2025-08-16,2025-10-01,13.9,No
STU00775,2025,Attendance Outreach,2025-09-19,2025-12-02,13.0,Yes
STU00775,2025,Credit Recovery,2025-04-13,2025-05-31,14.7,Yes
STU00779,2025,Math Tutoring,2025-02-13,2025-05-01,11.6,Yes
STU00781,2025,Credit Recovery,2025-06-07,2025-07-05,16.2,No
STU00789,2025,Attendance Outreach,2025-01-15,2025-02-19,15.0,Yes
STU00792,2025,Reading Support,2025-06-02,2025-08-17,11.0,Yes
STU00796,2025,Credit Recovery,2025-03-19,2025-04-27,12.0,Yes
STU00797,2025,Attendance Outreach,2025-09-07,2025-12-06,9.0,Yes
STU00807,2025,Reading Support,2025-08-23,2025-09-20,9.8,No
STU00813,2025,Math Tutoring,2025-08-04,2025-10-18,6.2,Yes
STU00817,2025,Attendance Outreach,2025-01-05,2025-02-15,13.3,Yes
STU00818,2025,Attendance Outreach,2025-03-14,2025-04-24,13.7,Yes
STU00822,2025,Attendance Outreach,2025-05-06,2025-05-28,10.2,Yes
STU00833,2025,Math Tutoring,2025-02-22,2025-04-26,8.8,Yes
STU00838,2025,Reading Support,2025-04-24,2025-06-14,9.6,Yes
STU00838,2025,Mentoring,2025-02-14,2025-04-24,15.5,
STU00840,2025,Reading Support,2025-01-19,2025-03-26,23.4,Yes
STU00843,2025,Math Tutoring,2025-08-14,2025-11-12,12.8,Yes
STU00856,2025,Reading Support,2025-03-07,2025-05-19,16.4,Yes
STU00862,2025,Math Tutoring,2025-03-02,2025-05-12,12.8,Yes
STU00865,2025,Credit Recovery,2025-07-19,2025-08-18,11.0,Yes
STU00872,2025,Credit Recovery,2025-09-24,2025-11-15,12.5,Yes
STU00872,2025,Credit Recovery,2025-08-07,2025-10-07,20.0,Yes
STU00873,2025,Attendance Outreach,2025-08-24,2025-10-18,10.0,Yes
STU00876,2025,Reading Support,2025-04-21,2025-06-20,9.4,Yes
STU00876,2025,Math Tutoring,2025-01-08,2025-03-12,15.1,Yes
STU00879,2025,Reading Support,2025-03-06,2025-05-01,11.8,Yes
STU00880,2025,Reading Support,2025-09-16,2025-10-15,17.5,Yes
STU00886,2025,Mentoring,2025-08-14,2025-10-30,7.0,Yes
STU00894,2025,Math Tutoring,2025-01-08,2025-03-09,16.1,Yes
STU00897,2025,Credit Recovery,2025-04-23,2025-07-03,15.1,Yes
STU00905,2025,Mentoring,2025-05-04,2025-04-23,10.7,No
STU00909,2025,Reading Support,2025-08-13,2025-09-04,20.7,No
STU00921,2025,Reading Support,2025-02-23,2025-03-16,17.4,Yes
STU00921,2025,Reading Support,2025-07-20,2025-09-22,12.3,Yes
STU00929,2025,Math Tutoring,2025-05-06,2025-06-09,16.4,No
STU00930,2025,Reading Support,2025-03-16,2025-04-17,9.3,Yes
STU00932,2025,Mentoring,2025-01-05,2025-01-30,17.5,No
STU00951,2025,Math Tutoring,2025-08-06,2025-09-23,8.1,No
STU00959,2025,Reading Support,2025-08-17,2025-11-14,19.7,YES
STU00959,2025,Attendance Outreach,2025-09-15,2025-10-14,14.2,No
STU00961,2025,Mentoring,2025-05-19,2025-07-15,13.6,Yes
STU00962,2025,Math Tutoring,2025-05-18,2025-07-05,20.3,Yes
STU00969,2025,Credit Recovery,2025-03-09,2025-05-25,10.3,Yes
STU00972,2025,Credit Recovery,2025-03-07,2025-05-17,7.6,No
STU00989,2025,Credit Recovery,2025-09-14,2025-11-03,7.0,No
STU00994,2025,Math Tutoring,2025-04-15,2025-06-13,8.4,Yes
STU00995,2025,Credit Recovery,2025-03-18,2025-06-09,7.5,No
STU00998,2025,Credit Recovery,2025-08-01,2025-09-15,8.7,Yes
STU00998,2025,Reading Support,2025-02-22,2025-04-14,5.1,Yes
STU01000,2025,Math Tutoring,2025-04-12,2025-06-27,2.0,Yes
STU01008,2025,Mentoring,2025-08-13,2025-10-11,12.6,Yes
STU01017,2025,Math Tutoring,2025-07-16,2025-08-30,15.6,Yes
STU01017,2025,Reading Support,2025-07-05,2025-08-11,16.8,Yes
STU01018,2025,Mentoring,2025-01-03,2025-03-08,7.7,No
STU01022,2025,Credit Recovery,2025-04-19,2025-05-31,8.4,No
STU01031,2025,Math Tutoring,2025-09-10,2025-11-26,13.5,Yes
STU01035,2025,Reading Support,2025-06-08,2025-07-03,10.5,No
STU01041,2025,Math Tutoring,2025-08-05,2025-09-10,6.3,Yes
STU01045,2025,Mentoring,2025-01-16,2025-03-16,18.9,Yes
STU01050,2025,Math Tutoring,2025-01-15,2025-04-13,10.4,Yes
STU01050,2025,Credit Recovery,2025-08-12,2025-10-14,24.8,Yes
STU01054,2025,Reading Support,2025-08-01,2025-09-29,7.3,Yes
STU01055,2025,Math Tutoring,2025-04-02,2025-06-20,7.9,Yes
STU01060,2025,Credit Recovery,2025-01-19,2025-02-28,15.1,No
STU01061,2025,Attendance Outreach,2025-09-23,2025-11-27,12.3,No
STU01083,2025,Mentoring,2025-06-12,2025-07-13,9.6,Yes
STU01083,2025,Attendance Outreach,2025-03-06,2025-05-30,13.8,Yes
STU01085,2025,Math Tutoring,2025-04-19,2025-05-10,8.5,No
STU01099,2025,Reading Support,2025-05-15,2025-06-08,11.5,Yes
STU01100,2025,Credit Recovery,2025-05-10,2025-06-13,17.1,Yes
STU01113,2025,Credit Recovery,2025-06-20,2025-09-09,8.0,Yes
STU01121,2025,Mentoring,2025-04-12,2025-05-15,13.8,Yes
STU01125,2025,Mentoring,2025-07-16,2025-08-25,7.0,Yes
STU01125,2025,Math Tutoring,2025-08-14,2025-10-29,11.1,Yes
STU01128,2025,Reading Support,2025-07-14,2025-09-02,11.1,No
STU01130,2025,Attendance Outreach,2025-07-01,2025-08-09,13.9,Yes
STU01136,2025,Mentoring,2025-07-10,2025-08-19,21.4,Yes
STU01148,2025,Reading Support,2025-04-06,2025-06-05,6.4,Yes
STU01150,2025,Reading Support,2025-05-17,2025-06-29,16.7,Yes
STU01151,2025,Mentoring,2025-08-10,2025-11-06,23.3,No
STU01151,2025,Math Tutoring,2025-03-19,2025-04-21,6.9,Yes
STU01172,2025,Mentoring,2025-07-24,2025-09-03,14.2,Yes
STU01177,2025,Math Tutoring,2025-04-24,2025-07-14,7.7,Yes
STU01190,2025,Attendance Outreach,2025-07-23,2025-09-13,3.5,Yes
STU01194,2025,Credit Recovery,2025-04-08,2025-06-17,14.8,Yes
STU01206,2025,Math Tutoring,2025-04-01,2025-06-08,17.2,Yes
STU01206,2025,Attendance Outreach,2025-03-20,2025-04-15,14.7,Yes
STU01207,2025,Reading Support,2025-08-01,2025-08-24,16.9,Yes
STU01208,2025,Math Tutoring,2025-04-19,2025-06-18,11.5,Yes
STU01209,2025,Attendance Outreach,2025-05-08,2025-07-03,15.0,Yes
STU01213,2025,Mentoring,2025-09-08,2025-11-11,12.0,Yes
STU01223,2025,Math Tutoring,2025-07-06,2025-09-24,13.4,Yes
STU01225,2025,Reading Support,2025-05-12,2025-06-16,8.9,Yes
STU01228,2025,Math Tutoring,2025-08-16,2025-09-26,10.2,No
STU01234,2025,Math Tutoring,2025-01-12,2025-02-28,3.6,Yes
STU01240,2025,Reading Support,2025-01-18,2025-02-21,11.4,Yes
STU01243,2025,Credit Recovery,2025-02-21,2025-05-16,18.5,Yes
STU01246,2025,Mentoring,2025-07-21,2025-09-17,7.7,No
STU01252,2025,Math Tutoring,2025-05-09,2025-06-18,7.4,Yes
STU01255,2025,Credit Recovery,2025-05-02,2025-06-29,19.6,Yes
STU01264,2025,Attendance Outreach,2025-01-09,2025-02-04,4.2,No
STU01274,2025,Reading Support,2025-08-19,2025-09-10,2.0,Yes
STU01276,2025,Math Tutoring,2025-09-21,2025-12-11,16.0,No
STU01280,2025,Attendance Outreach,2025-01-18,2025-02-12,10.7,No
STU01280,2025,Credit Recovery,2025-02-23,2025-04-11,11.7,Yes
STU01282,2025,Credit Recovery,2025-07-16,2025-09-03,7.8,Yes
STU01284,2025,Attendance Outreach,2025-06-09,2025-09-02,6.2,
STU01289,2025,Reading Support,2025-05-20,2025-07-11,13.4,Yes
STU01302,2025,Mentoring,2025-03-18,2025-05-01,16.6,Yes
STU01309,2025,Math Tutoring,2025-04-22,2025-06-19,15.6,Yes
STU01314,2025,Mentoring,2025-08-23,2025-10-04,14.1,Yes
STU01323,2025,Reading Support,2025-06-01,2025-08-19,13.1,Yes
STU01323,2025,Credit Recovery,2025-08-17,2025-10-03,6.0,Yes
STU01333,2025,Credit Recovery,2025-06-19,2025-09-06,11.5,Yes
STU01335,2025,Math Tutoring,2025-06-06,2025-07-04,13.3,Yes
STU01338,2025,Reading Support,2025-09-02,2025-11-06,21.1,Yes
STU01340,2025,Attendance Outreach,2025-03-14,2025-04-12,8.2,No
STU01351,2025,Math Tutoring,2025-01-01,2025-02-28,8.6,Yes
STU01356,2025,Mentoring,2025-01-06,2025-03-06,14.3,Yes
STU01364,2025,Reading Support,2025-01-23,2025-02-18,6.8,Yes
STU01376,2025,Credit Recovery,2025-08-09,2025-10-18,19.8,Yes
STU01376,2025,Credit Recovery,2025-09-12,2025-11-30,15.2,Yes
STU01378,2025,Attendance Outreach,2025-07-15,2025-09-07,15.4,Yes
STU01378,2025,Attendance Outreach,2025-07-05,2025-09-30,10.7,Yes
STU01380,2025,Reading Support,2025-01-08,2025-02-19,15.4,Yes
STU01383,2025,Credit Recovery,2025-01-10,2025-02-22,6.8,n
STU01393,2025,Math Tutoring,2025-07-03,2025-09-16,7.4,Yes
STU01393,2025,Credit Recovery,2025-07-08,2025-09-03,22.7,No
STU01396,2025,Mentoring,2025-08-13,2025-10-20,11.9,Yes
STU01398,2025,Mentoring,2025-01-16,2025-04-07,19.2,Yes
STU01402,2025,Mentoring,2025-09-13,2025-11-29,7.2,Yes
STU01405,2025,Math Tutoring,2025-03-20,2025-05-04,11.1,Yes
STU01408,2025,Mentoring,2025-02-12,2025-04-14,7.1,Yes
STU01408,2025,Reading Support,2025-04-13,2025-05-16,14.6,Yes
STU01413,2025,Attendance Outreach,2025-06-13,2025-07-07,16.7,Yes
STU01419,2025,Math Tutoring,2025-03-06,2025-05-21,2.3,Yes
STU01426,2025,Math Tutoring,2025-05-20,2025-06-12,16.2,Yes
STU01429,2025,Credit Recovery,2025-05-21,2025-07-27,3.5,Yes
STU01433,2025,Attendance Outreach,2025-08-23,2025-10-24,23.2,Y
STU01436,2025,Math Tutoring,2025-06-16,2025-08-10,16.1,No
STU01443,2025,Mentoring,2025-07-05,2025-10-02,9.7,Yes
STU01446,2025,Mentoring,2025-09-21,2025-10-26,8.1,Yes
STU01447,2025,Attendance Outreach,2025-07-05,2025-09-04,13.6,Yes
STU01448,2025,Mentoring,2025-09-17,2025-10-09,8.7,
STU01449,2025,Reading Support,2025-09-06,2025-10-16,9.9,Yes
STU01454,2025,Math Tutoring,2025-03-19,2025-05-16,13.2,No
STU01454,2025,Reading Support,2025-06-24,2025-08-10,15.7,Yes
STU01458,2025,Attendance Outreach,2025-06-07,2025-08-11,8.1,No
STU01460,2025,Math Tutoring,2025-01-16,2025-02-10,13.6,Yes
STU01462,2025,Attendance Outreach,2025-02-13,2025-05-06,10.7,No
STU01466,2025,Attendance Outreach,2025-08-16,2025-10-01,10.0,Yes
STU01466,2025,Mentoring,2025-08-08,2025-11-02,13.4,Yes
STU01471,2025,Reading Support,2025-03-05,2025-03-26,3.0,Yes
STU01471,2025,Attendance Outreach,2025-03-05,2025-05-29,16.0,Yes
STU01481,2025,Mentoring,2025-01-12,2025-02-13,15.8,Yes
STU01486,2025,Mentoring,2025-03-11,2025-04-22,10.4,No
STU01486,2025,Mentoring,2025-08-17,2025-10-29,7.5,Yes
STU01492,2025,Reading Support,2025-07-02,2025-08-31,15.4,Yes
STU01495,2025,Credit Recovery,2025-08-05,2025-10-20,10.2,No
STU01495,2025,Math Tutoring,2025-08-15,2025-10-22,20.6,Yes
STU01499,2025,Credit Recovery,2025-06-11,2025-09-04,,Yes
STU01500,2025,Reading Support,2025-07-04,2025-08-14,10.3,No
STU01500,2025,Math Tutoring,2025-03-21,2025-05-10,2.0,No
