student_id,school_year,days_enrolled,days_present,attendance_rate
STU00050,2024,174,153,0.879
STU00050,2025,171,150,0.877
STU00051,2023,170,160,0.941
STU00051,2024,174,163,0.937
STU00051,2025,171,150,0.877
STU00052,2023,168,164,0.976
STU00052,2024,174,158,0.908
STU00052,2025,179,165,0.922
STU00053,2023,170,156,0.918
STU00053,2024,171,152,0.889
STU00053,2025,180,159,0.883
STU00054,2023,165,157,1.07
STU00054,2024,169,163,0.964
STU00054,2025,177,162,0.915
STU00055,2023,175,166,0.949
STU00055,2024,170,167,0.982
STU00055,2025,172,162,0.942
STU00056,2023,166,155,0.934
STU00056,2024,172,158,0.919
STU00056,2025,173,153,0.884
STU00057,2023,168,168,1.0
STU00057,2024,169,153,0.905
STU00057,2025,173,169,0.977
STU00058,2023,180,163,0.906
STU00058,2024,172,154,0.895
STU00058,2025,166,144,0.867
STU00059,2023,178,160,0.899
STU00059,2024,170,167,0.982
STU00059,2025,169,160,0.947
STU00060,2023,175,172,0.983
STU00060,2024,168,148,0.881
STU00060,2025,174,165,0.948
STU00061,2023,169,155,0.917
STU00061,2024,180,167,0.928
STU00061,2025,176,171,0.972
STU00062,2023,169,159,0.941
STU00062,2024,178,163,0.916
STU00062,2025,177,164,0.927
STU00063,2023,168,162,0.964
STU00063,2024,176,162,0.92
STU00063,2025,171,163,0.953
STU00064,2023,170,159,0.935
STU00064,2024,172,144,0.837
STU00064,2025,179,173,0.966
STU00065,2023,165,148,0.897
STU00065,2024,176,170,0.966
STU00065,2025,178,163,0.916
STU00066,2023,172,158,0.919
STU00066,2024,176,176,1.0
STU00066,2025,165,150,0.909
STU00067,2023,166,148,0.892
STU00067,2024,168,155,0.923
STU00067,2025,169,153,0.905
STU00068,2023,175,170,97.1%
STU00068,2024,172,158,0.919
STU00068,2025,166,165,0.994
STU00069,2023,167,152,0.91
STU00069,2024,169,144,0.852
STU00069,2025,180,157,0.872
STU00070,2023,166,139,0.837
STU00070,2024,177,154,0.87
STU00070,2025,166,148,0.892
STU00071,2023,174,171,0.983
STU00071,2024,171,156,0.912
STU00071,2025,169,159,0.941
STU00072,2023,180,174,0.967
STU00072,2024,169,163,0.964
STU00072,2025,174,174,1.0
STU00073,2023,177,175,0.989
STU00073,2024,176,170,0.966
STU00073,2025,174,161,0.925
STU00074,2023,177,152,0.859
STU00074,2024,175,152,0.869
STU00074,2025,169,160,0.947
STU00075,2023,169,158,0.935
STU00075,2024,179,167,0.933
STU00075,2025,172,159,0.924
STU00076,2023,167,155,0.928
STU00076,2024,179,168,0.939
STU00076,2025,165,148,0.897
STU00077,2023,177,173,0.977
STU00077,2024,176,163,0.926
STU00077,2025,171,161,0.942
STU00078,2023,179,162,0.905
STU00078,2024,175,165,0.943
STU00078,2025,179,178,0.994
STU00079,2023,165,159,0.964
STU00079,2024,165,158,0.958
STU00079,2025,180,170,0.944
STU00080,2023,180,161,0.894
STU00080,2024,174,160,0.92
STU00080,2025,170,156,0.918
STU00081,2023,165,146,0.885
STU00081,2024,166,155,0.934
STU00081,2025,177,170,0.96
STU00082,2023,180,163,0.906
STU00082,2024,175,166,0.949
STU00082,2025,165,158,0.958
STU00083,2023,175,170,0.971
STU00083,2024,166,157,0.946
STU00083,2025,170,156,0.918
STU00084,2023,172,165,0.959
STU00084,2024,177,164,0.927
STU00084,2025,179,173,0.966
STU00085,2023,176,157,0.892
STU00085,2024,176,163,0.926
STU00085,2025,174,154,0.885
STU00086,2023,177,174,0.983
STU00086,2024,178,178,1.0
STU00086,2025,179,175,0.978
STU00087,2023,179,169,0.944
STU00087,2024,180,165,0.917
STU00087,2025,176,162,0.92
STU00088,2023,179,159,0.888
STU00088,2024,165,155,0.939
STU00088,2025,165,149,0.903
STU00089,2023,170,152,0.894
STU00089,2024,166,146,0.88
STU00089,2025,176,151,0.858
STU00090,2023,175,161,0.92
STU00090,2024,167,156,0.934
STU00090,2025,180,177,0.983
STU00091,2023,168,161,0.958
STU00091,2024,172,152,0.884
STU00091,2025,169,155,0.917
STU00092,2023,179,171,0.955
STU00092,2024,179,171,0.955
STU00092,2025,174,170,0.977
STU00093,2023,179,168,0.939
STU00093,2024,175,159,0.909
STU00093,2025,173,173,1.0
STU00094,2023,178,168,0.944
STU00094,2024,177,170,0.96
STU00094,2025,170,160,0.941
STU00095,2023,165,155,0.939
STU00095,2024,168,161,0.958
STU00095,2025,170,150,0.882
STU00096,2023,172,159,0.924
STU00096,2024,170,156,0.918
STU00096,2025,171,148,0.865
STU00097,2023,174,172,0.989
STU00097,2024,180,174,0.967
STU00097,2025,180,175,0.972
STU00098,2023,176,170,0.966
STU00098,2024,170,162,0.953
STU00098,2025,176,170,0.966
STU00099,2023,177,156,0.881
STU00099,2024,179,156,0.872
STU00099,2025,165,157,0.952
STU00100,2023,171,166,0.971
STU00100,2024,165,159,0.964
STU00100,2025,179,169,0.944
STU00101,2023,177,163,0.921
STU00101,2024,176,163,0.926
STU00101,2025,174,157,0.902
STU00102,2023,171,163,0.953
STU00102,2024,174,154,0.885
STU00102,2025,179,178,0.994
STU00103,2023,171,151,0.883
STU00103,2024,168,155,0.923
STU00103,2025,177,169,0.955
STU00104,2023,167,151,0.904
STU00104,2024,167,154,0.922
STU00104,2025,176,161,0.915
STU00105,2023,169,148,0.876
STU00105,2024,173,166,0.96
STU00105,2025,166,147,0.886
STU00106,2023,169,158,0.935
STU00106,2024,169,152,-0.05
STU00106,2025,168,154,0.917
STU00107,2023,174,162,0.931
STU00107,2024,165,157,0.952
STU00107,2025,174,172,0.989
STU00108,2023,170,156,0.918
STU00108,2024,179,154,0.86
STU00108,2025,176,163,0.926
STU00109,2023,178,171,0.961
STU00109,2024,178,163,0.916
STU00109,2025,180,152,0.844
STU00110,2023,180,169,0.939
STU00110,2024,176,162,0.92
STU00110,2025,179,156,0.872
STU00111,2023,168,156,0.929
STU00111,2024,172,164,0.953
STU00111,2025,176,163,0.926
STU00112,2023,171,157,0.918
STU00112,2024,177,169,0.955
STU00112,2025,172,164,0.953
STU00113,2023,175,156,0.891
STU00113,2024,167,142,0.85
STU00113,2025,179,154,0.86
STU00114,2023,175,175,1.0
STU00114,2024,172,152,0.884
STU00114,2025,169,158,0.935
STU00115,2023,167,157,0.94
STU00115,2024,177,166,0.938
STU00115,2025,171,161,0.942
STU00116,2023,177,177,1.0
STU00116,2024,178,178,1.0
STU00116,2025,172,162,0.942
STU00117,2023,180,165,0.917
STU00117,2024,174,161,0.925
STU00117,2025,177,164,0.927
STU00118,2023,171,162,0.947
STU00118,2024,168,155,0.923
STU00118,2025,165,143,0.867
STU00119,2023,177,168,0.949
STU00119,2024,171,158,0.924
STU00119,2025,166,154,0.928
STU00120,2023,178,178,1.0
STU00120,2024,173,168,0.971
STU00120,2025,176,171,0.972
STU00121,2023,168,158,0.94
STU00121,2024,166,145,0.873
STU00121,2025,166,145,0.873
STU00122,2023,180,174,0.967
STU00122,2024,172,167,0.971
STU00122,2025,175,165,0.943
STU00123,2023,173,167,0.965
STU00123,2024,165,154,0.933
STU00123,2025,168,155,1.07
STU00124,2023,169,148,0.876
STU00124,2024,166,147,0.886
STU00124,2025,179,160,0.894
STU00125,2023,175,161,0.92
STU00125,2024,173,173,1.0
STU00125,2025,178,165,0.927
STU00126,2023,171,157,0.918
STU00126,2024,177,161,0.91
STU00126,2025,171,148,0.865
STU00127,2023,178,165,0.927
STU00127,2024,174,157,0.902
STU00127,2025,170,152,0.894
STU00128,2023,172,157,0.913
STU00128,2024,167,137,0.82
STU00128,2025,171,156,0.912
STU00129,2023,179,164,0.916
STU00129,2024,175,165,0.943
STU00129,2025,180,172,0.956
STU00130,2023,174,159,0.914
STU00130,2024,165,159,0.964
STU00130,2025,170,160,0.941
STU00131,2023,180,169,0.939
STU00131,2024,179,162,0.905
STU00131,2025,168,160,0.952
STU00132,2023,174,166,0.954
STU00132,2024,170,164,0.965
STU00132,2025,173,166,0.96
STU00133,2023,174,149,0.856
STU00133,2024,173,159,0.919
STU00133,2025,170,149,0.876
STU00134,2023,171,160,0.936
STU00134,2024,175,164,0.937
STU00134,2025,170,164,0.965
STU00135,2023,170,157,0.924
STU00135,2024,169,150,0.888
STU00135,2025,173,160,0.925
STU00136,2023,170,165,0.971
STU00136,2024,166,151,0.91
STU00136,2025,170,153,0.9
STU00137,2023,165,151,0.915
STU00137,2024,171,159,0.93
STU00137,2025,174,167,0.96
STU00138,2023,174,165,0.948
STU00138,2024,176,166,0.943
STU00138,2025,168,156,0.929
STU00139,2023,166,150,0.904
STU00139,2024,177,157,0.887
STU00139,2025,173,164,0.948
STU00140,2023,180,172,0.956
STU00140,2024,171,171,1.0
STU00140,2025,165,148,0.897
STU00141,2023,176,168,0.955
STU00141,2024,166,152,0.916
STU00141,2025,170,160,0.941
STU00142,2023,175,170,0.971
STU00142,2024,180,169,
STU00142,2025,179,161,0.899
STU00143,2023,176,147,0.835
STU00143,2024,178,156,0.876
STU00143,2025,165,140,0.848
STU00144,2023,174,174,1.0
STU00144,2024,171,164,0.959
STU00144,2025,173,169,0.977
STU00145,2023,171,163,0.953
STU00145,2024,168,157,0.935
STU00145,2025,170,161,0.947
STU00146,2023,167,155,0.928
STU00146,2024,177,165,0.932
STU00146,2025,166,157,0.946
STU00147,2023,166,150,0.904
STU00147,2024,177,157,0.887
STU00147,2025,168,154,0.917
STU00148,2023,170,155,0.912
STU00148,2024,172,156,0.907
STU00148,2025,175,168,0.96
STU00149,2023,166,151,0.91
STU00149,2024,176,165,0.938
STU00149,2025,167,158,0.946
STU00150,2023,171,166,0.971
STU00150,2024,174,159,0.914
STU00150,2025,166,160,0.964
STU00151,2023,176,159,0.903
STU00151,2024,165,157,0.952
STU00151,2025,165,155,0.939
STU00152,2023,176,172,0.977
STU00152,2024,176,167,0.949
STU00152,2025,180,170,0.944
STU00153,2023,169,147,0.87
STU00153,2024,176,154,0.875
STU00153,2025,166,152,0.916
STU00154,2023,173,166,0.96
STU00154,2024,176,171,0.972
STU00154,2025,172,169,0.983
STU00155,2023,180,176,0.978
STU00155,2024,167,152,0.91
STU00155,2025,175,157,0.897
STU00156,2023,165,152,0.921
STU00156,2024,173,171,0.988
STU00156,2025,166,152,0.916
STU00157,2023,177,163,0.921
STU00157,2024,176,161,0.915
STU00157,2025,172,163,0.948
STU00158,2023,176,166,0.943
STU00158,2024,177,168,0.949
STU00158,2025,179,171,0.955
STU00159,2023,178,173,
STU00159,2024,174,172,0.989
STU00159,2025,165,158,0.958
STU00160,2023,179,166,0.927
STU00160,2024,168,159,0.946
STU00160,2025,172,165,0.959
STU00161,2023,179,170,0.95
STU00161,2024,175,175,1.0
STU00161,2025,176,175,0.994
STU00162,2023,165,145,0.879
STU00162,2024,176,156,0.886
STU00162,2025,165,155,0.939
STU00163,2023,165,152,0.921
STU00163,2024,177,171,0.966
STU00163,2025,176,176,1.0
STU00164,2023,166,159,0.958
STU00164,2024,172,160,0.93
STU00164,2025,170,157,0.924
STU00165,2023,174,172,0.989
STU00165,2024,165,148,0.897
STU00165,2025,169,161,0.953
STU00166,2023,179,162,0.905
STU00166,2024,170,158,0.929
STU00166,2025,177,166,0.938
STU00167,2023,170,159,0.935
STU00167,2024,166,155,0.934
STU00167,2025,177,159,0.898
STU00168,2023,173,167,0.965
STU00168,2024,174,165,0.948
STU00168,2025,172,162,0.942
STU00169,2023,167,141,0.844
STU00169,2024,172,155,0.901
STU00169,2025,175,149,0.851
STU00170,2023,176,152,0.864
STU00170,2024,171,158,0.924
STU00170,2025,173,163,0.942
STU00171,2023,167,151,0.904
STU00171,2024,175,156,0.891
STU00171,2025,177,162,0.915
STU00172,2023,170,155,0.912
STU00172,2024,175,167,0.954
STU00172,2025,167,157,0.94
STU00173,2023,175,175,1.0
STU00173,2024,172,157,0.913
STU00173,2025,170,155,0.912
STU00174,2023,172,155,0.901
STU00174,2024,165,159,0.964
STU00174,2025,171,157,0.918
STU00175,2023,172,153,0.89
STU00175,2024,172,146,84.9%
STU00175,2025,170,152,0.894
STU00176,2023,171,161,0.942
STU00176,2024,176,174,0.989
STU00176,2025,165,158,0.958
STU00177,2023,176,176,1.0
STU00177,2024,172,163,0.948
STU00177,2025,165,156,0.945
STU00178,2023,175,162,0.926
STU00178,2024,174,157,0.902
STU00178,2025,174,156,0.897
STU00179,2023,167,160,0.958
STU00179,2024,177,165,0.932
STU00179,2025,179,172,96.1%
STU00180,2023,180,170,0.944
STU00180,2024,180,166,0.922
STU00180,2025,173,164,0.948
STU00181,2023,168,153,0.911
STU00181,2024,169,165,0.976
STU00181,2025,178,164,0.921
STU00182,2023,173,165,0.954
STU00182,2024,176,170,0.966
STU00182,2025,173,163,0.942
STU00183,2023,166,159,0.958
STU00183,2024,180,173,0.961
STU00183,2025,165,159,0.964
STU00184,2023,177,171,0.966
STU00184,2024,176,165,0.938
STU00184,2025,176,174,0.989
STU00185,2023,177,154,0.87
STU00185,2024,175,169,0.966
STU00185,2025,172,170,0.988
STU00186,2023,178,169,0.949
STU00186,2024,166,155,0.934
STU00186,2025,170,163,0.959
STU00187,2023,165,147,0.891
STU00187,2024,172,159,0.924
STU00187,2025,167,155,0.928
STU00188,2023,170,164,0.965
STU00188,2024,176,162,0.92
STU00188,2025,175,165,0.943
STU00189,2023,175,159,0.909
STU00189,2024,178,157,0.882
STU00189,2025,165,143,0.867
STU00190,2023,174,164,0.943
STU00190,2024,169,152,0.899
STU00190,2025,169,160,0.947
STU00191,2023,173,156,0.902
STU00191,2024,175,169,0.966
STU00191,2025,170,154,1.15
STU00192,2023,173,160,0.925
STU00192,2024,168,157,0.935
STU00192,2025,171,142,0.83
STU00193,2023,177,158,0.893
STU00193,2024,172,162,0.942
STU00193,2025,167,145,
STU00194,2023,180,157,0.872
STU00194,2024,179,165,0.922
STU00194,2025,167,157,0.94
STU00195,2023,171,170,0.994
STU00195,2024,179,177,0.989
STU00195,2025,175,165,0.943
STU00196,2023,178,174,0.978
STU00196,2024,172,158,0.919
STU00196,2025,173,172,0.994
STU00197,2023,175,165,0.943
STU00197,2024,177,167,0.944
STU00197,2025,173,146,0.844
STU00198,2023,173,164,0.948
STU00198,2024,172,171,0.994
STU00198,2025,177,170,0.96
STU00199,2023,170,159,0.935
STU00199,2024,168,162,0.964
STU00199,2025,174,169,0.971
STU00200,2023,176,166,0.943
STU00200,2024,173,163,0.942
STU00200,2025,170,167,0.982
STU00201,2023,176,161,0.915
STU00201,2024,167,153,0.916
STU00201,2025,166,166,1.0
STU00202,2023,166,140,0.843
STU00202,2024,174,165,0.948
STU00202,2025,174,164,0.943
STU00203,2023,177,152,0.859
STU00203,2024,172,154,0.895
STU00203,2025,167,140,0.838
STU00204,2023,176,165,0.938
STU00204,2024,178,162,0.91
STU00204,2025,177,157,0.887
STU00205,2023,174,158,0.908
STU00205,2024,172,172,1.0
STU00205,2025,180,163,0.906
STU00206,2023,169,157,0.929
STU00206,2024,180,174,0.967
STU00206,2025,165,165,1.0
STU00207,2023,167,163,0.976
STU00207,2024,168,151,0.899
STU00207,2025,179,176,0.983
STU00208,2023,168,155,0.923
STU00208,2024,173,161,0.931
STU00208,2025,177,165,0.932
STU00209,2023,168,161,0.958
STU00209,2024,175,166,0.949
STU00209,2025,167,154,0.922
STU00210,2023,173,155,0.896
STU00210,2024,178,159,0.893
STU00210,2025,165,144,0.873
STU00211,2023,177,171,0.966
STU00211,2024,180,166,0.922
STU00211,2025,170,162,0.953
STU00212,2023,170,155,0.912
STU00212,2024,168,157,0.935
STU00212,2025,173,154,0.89
STU00213,2023,177,163,0.921
STU00213,2024,169,158,0.935
STU00213,2025,177,155,0.876
STU00214,2023,168,162,0.964
STU00214,2024,171,170,0.994
STU00214,2025,176,154,0.875
STU00215,2023,174,158,0.908
STU00215,2024,170,153,0.9
STU00215,2025,175,152,0.869
STU00216,2023,179,168,0.939
STU00216,2024,176,171,0.972
STU00216,2025,180,173,0.961
STU00217,2023,175,164,0.937
STU00217,2024,166,157,0.946
STU00217,2025,177,162,0.915
STU00218,2023,165,165,1.0
STU00218,2024,175,166,0.949
STU00218,2025,179,169,0.944
STU00219,2023,165,153,0.927
STU00219,2024,179,168,93.9%
STU00219,2025,169,155,0.917
STU00220,2023,166,151,0.91
STU00220,2024,165,155,0.939
STU00220,2025,179,167,0.933
STU00221,2023,175,153,0.874
STU00221,2024,174,165,0.948
STU00221,2025,172,156,0.907
STU00222,2023,166,146,0.88
STU00222,2024,166,160,0.964
STU00222,2025,166,141,0.849
STU00223,2023,173,161,0.931
STU00223,2024,177,160,0.904
STU00223,2025,173,155,0.896
STU00224,2023,170,156,0.918
STU00224,2024,175,152,0.869
STU00224,2025,166,154,0.928
STU00225,2023,172,152,0.884
STU00225,2024,172,161,0.936
STU00225,2025,174,150,0.862
STU00226,2023,171,148,0.865
STU00226,2024,169,146,0.864
STU00226,2025,171,147,0.86
STU00227,2023,176,165,0.938
STU00227,2024,167,159,0.952
STU00227,2025,168,153,0.911
STU00228,2023,174,170,0.977
STU00228,2024,167,149,0.892
STU00228,2025,178,163,0.916
STU00229,2023,167,145,0.868
STU00229,2024,174,154,0.885
STU00229,2025,177,153,0.864
STU00230,2023,169,167,0.988
STU00230,2024,168,149,0.887
STU00230,2025,173,169,0.977
STU00231,2023,168,148,0.881
STU00231,2024,174,159,0.914
STU00231,2025,174,157,0.902
STU00232,2023,168,152,0.905
STU00232,2024,174,146,0.839
STU00232,2025,172,155,0.901
STU00233,2023,178,162,0.91
STU00233,2024,177,177,1.0
STU00233,2025,177,165,0.932
STU00234,2023,178,163,0.916
STU00234,2024,167,156,0.934
STU00234,2025,178,166,0.933
STU00235,2023,168,162,0.964
STU00235,2024,174,157,0.902
STU00235,2025,172,164,0.953
STU00236,2023,166,156,0.94
STU00236,2024,179,169,0.944
STU00236,2025,180,165,0.917
STU00237,2023,168,145,0.863
STU00237,2024,171,153,0.895
STU00237,2025,166,155,0.934
STU00238,2023,166,144,0.867
STU00238,2024,174,151,0.868
STU00238,2025,180,155,0.861
STU00239,2023,173,157,0.908
STU00239,2024,180,176,0.978
STU00239,2025,165,156,0.945
STU00240,2023,167,154,0.922
STU00240,2024,176,151,0.858
STU00240,2025,180,165,0.917
STU00241,2023,173,158,0.913
STU00241,2024,168,157,0.935
STU00241,2025,168,165,0.982
STU00242,2023,173,157,0.908
STU00242,2024,180,166,0.922
STU00242,2025,165,160,0.97
STU00243,2023,167,161,0.964
STU00243,2024,176,172,0.977
STU00243,2025,175,164,0.937
STU00244,2023,174,162,0.931
STU00244,2024,173,155,0.896
STU00244,2025,175,170,0.971
STU00245,2023,169,154,0.911
STU00245,2024,166,150,0.904
STU00245,2025,173,156,0.902
STU00246,2023,168,155,0.923
STU00246,2024,170,167,0.982
STU00246,2025,173,159,0.919
STU00247,2023,173,159,0.919
STU00247,2024,172,161,0.936
STU00247,2025,178,176,0.989
STU00248,2023,175,169,0.966
STU00248,2024,171,162,0.947
STU00248,2025,180,170,0.944
STU00249,2023,175,157,0.897
STU00249,2024,179,164,0.916
STU00249,2025,171,153,0.895
STU00250,2023,176,167,0.949
STU00250,2024,174,163,0.937
STU00250,2025,172,152,0.884
STU00251,2023,170,162,0.953
STU00251,2024,175,160,0.914
STU00251,2025,170,150,0.882
STU00252,2023,177,177,1.0
STU00252,2024,170,170,1.0
STU00252,2025,165,161,0.976
STU00253,2023,175,165,0.943
STU00253,2024,166,144,0.867
STU00253,2025,168,160,0.952
STU00254,2023,176,152,0.864
STU00254,2024,171,160,0.936
STU00254,2025,166,153,0.922
STU00255,2023,172,168,0.977
STU00255,2024,166,157,0.946
STU00255,2025,174,166,0.954
STU00256,2023,166,150,0.904
STU00256,2024,170,163,0.959
STU00256,2025,171,161,0.942
STU00257,2023,173,163,0.942
STU00257,2024,179,165,0.922
STU00257,2025,178,177,0.994
STU00258,2023,178,168,0.944
STU00258,2024,175,147,0.84
STU00258,2025,178,155,0.871
STU00259,2023,171,159,0.93
STU00259,2024,170,159,0.935
STU00259,2025,176,170,0.966
STU00260,2023,177,162,0.915
STU00260,2024,167,157,0.94
STU00260,2025,174,163,0.937
STU00261,2023,175,150,
STU00261,2024,168,148,0.881
STU00261,2025,178,168,0.944
STU00262,2023,180,172,0.956
STU00262,2024,167,159,0.952
STU00262,2025,180,170,0.944
STU00263,2023,177,172,0.972
STU00263,2024,171,160,0.936
STU00263,2025,169,157,0.929
STU00264,2023,177,167,0.944
STU00264,2024,177,170,0.96
STU00264,2025,169,151,0.893
STU00265,2023,180,164,0.911
STU00265,2024,177,158,0.893
STU00265,2025,169,160,0.947
STU00266,2023,176,161,0.915
STU00266,2024,170,169,0.994
STU00266,2025,178,160,0.899
STU00267,2023,172,170,0.988
STU00267,2024,176,171,0.972
STU00267,2025,165,155,0.939
STU00268,2023,165,144,0.873
STU00268,2024,172,155,0.901
STU00268,2025,173,160,0.925
STU00269,2023,170,152,0.894
STU00269,2024,176,161,0.915
STU00269,2025,179,166,0.927
STU00270,2023,165,150,0.909
STU00270,2024,168,156,0.929
STU00270,2025,175,147,0.84
STU00271,2023,177,171,0.966
STU00271,2024,166,160,0.964
STU00271,2025,169,152,0.899
STU00272,2023,166,147,0.886
STU00272,2024,176,167,0.949
STU00272,2025,168,149,0.887
STU00273,2023,180,177,0.983
STU00273,2024,166,154,0.928
STU00273,2025,176,175,
STU00274,2023,168,161,0.958
STU00274,2024,166,159,0.958
STU00274,2025,170,157,0.924
STU00275,2023,179,162,0.905
STU00275,2024,170,155,0.912
STU00275,2025,167,153,0.916
STU00276,2023,165,162,0.982
STU00276,2024,167,159,0.952
STU00276,2025,178,163,0.916
STU00277,2023,168,151,0.899
STU00277,2024,179,168,0.939
STU00277,2025,170,162,0.953
STU00278,2023,166,151,0.91
STU00278,2024,166,147,0.886
STU00278,2025,165,153,0.927
STU00279,2023,169,164,0.97
STU00279,2024,168,166,0.988
STU00279,2025,169,153,0.905
STU00280,2023,168,158,0.94
STU00280,2024,169,158,0.935
STU00280,2025,170,160,0.941
STU00281,2023,177,157,0.887
STU00281,2024,166,158,1.07
STU00281,2025,173,154,0.89
STU00282,2023,172,159,0.924
STU00282,2024,175,155,0.886
STU00282,2025,166,152,0.916
STU00283,2023,168,168,1.0
STU00283,2024,168,161,0.958
STU00283,2025,169,149,0.882
STU00284,2023,178,167,0.938
STU00284,2024,175,159,0.909
STU00284,2025,177,166,0.938
STU00285,2023,169,157,0.929
STU00285,2024,169,169,1.0
STU00285,2025,171,164,0.959
STU00286,2023,168,159,0.946
STU00286,2024,166,163,0.982
STU00286,2025,166,162,0.976
STU00287,2023,166,147,0.886
STU00287,2024,179,159,0.888
STU00287,2025,175,156,0.891
STU00288,2023,171,152,0.889
STU00288,2024,168,160,0.952
STU00288,2025,179,172,0.961
STU00289,2023,180,158,0.878
STU00289,2024,171,154,0.901
STU00289,2025,170,158,0.929
STU00290,2023,179,154,0.86
STU00290,2024,167,146,0.874
STU00290,2025,178,160,0.899
STU00291,2023,178,178,1.0
STU00291,2024,180,161,0.894
